Name,Artist,Genre,Subgenre,Energy
SPOTLIGHT,eill,pop,dance pop,0.735
let me know,blanchehor,pop,dance pop,0.584
Y.E.S,KEITA,pop,dance pop,0.795
Rich&Famous - feat. Sean Paul,Kumi Koda,pop,dance pop,0.739
ミズノナカヘ - Car TAX remix,yu-re:meu,pop,dance pop,0.846
EASY LOVE,Gear 2nd,pop,dance pop,0.776
PARADE,Miliyah,pop,dance pop,0.637
Obsession,広瀬大地,pop,dance pop,0.851
Shine,DJ PIGER,pop,dance pop,0.721
Upside Down,RYPPHYPE,pop,dance pop,0.927
B.S.G.S.,sooogood!,pop,dance pop,0.905
Bitten By You,Monkey Majik,pop,dance pop,0.75
For Me,WAPLAN,pop,dance pop,0.734
Sway,AATA,pop,dance pop,0.673
Nobody,Beverly,pop,dance pop,0.929
Adios,EVERGLOW,pop,dance pop,0.706
Dumb,BVNDIT,pop,dance pop,0.837
THURSDAY,GOT7,pop,dance pop,0.787
Snapping,CHUNG HA,pop,dance pop,0.726
WONDERLAND,ATEEZ,pop,dance pop,0.964
DDU-DU DDU-DU,BLACKPINK,pop,dance pop,0.859
Like always,X1,pop,dance pop,0.879
Answer,ATEEZ,pop,dance pop,0.903
피카부 Peek-A-Boo,Red Velvet,pop,dance pop,0.902
DRIP,HINAPIA,pop,dance pop,0.87
Jopping,SuperM,pop,dance pop,0.835
HIP,Mamamoo,pop,dance pop,0.731
BBoom BBoom,MOMOLAND,pop,dance pop,0.744
Dumb Litty,KARD,pop,dance pop,0.887
POP/STARS,K/DA,pop,dance pop,0.769
MIDDLE OF THE NIGHT,Monsta X,pop,dance pop,0.764
Boy With Luv (feat. Halsey),BTS,pop,dance pop,0.862
Bon Bon Chocolat,EVERGLOW,pop,dance pop,0.828
gogobebe,Mamamoo,pop,dance pop,0.787
IDOL,BTS,pop,dance pop,0.855
KILLING ME,iKON,pop,dance pop,0.672
As If It's Your Last,BLACKPINK,pop,dance pop,0.853
MIROH,Stray Kids,pop,dance pop,0.979
Forever Love,YOUNGJAE,pop,dance pop,0.785
BOSS,NCT,pop,dance pop,0.543
Forever Young,BLACKPINK,pop,dance pop,0.96
Egotistic,Mamamoo,pop,dance pop,0.833
Bomb Bomb,KARD,pop,dance pop,0.842
DNA,BTS,pop,dance pop,0.775
Roller Coaster,CHUNG HA,pop,dance pop,0.906
YES or YES,TWICE,pop,dance pop,0.913
FLASH,X1,pop,dance pop,0.91
HANN (Alone),(G)I-DLE,pop,dance pop,0.718
하드캐리 Hard Carry,GOT7,pop,dance pop,0.873
ME,CLC,pop,dance pop,0.804
BAAM,MOMOLAND,pop,dance pop,0.94
DDD,EXID,pop,dance pop,0.794
Starry Night,Mamamoo,pop,dance pop,0.773
Siren,SUNMI,pop,dance pop,0.894
HIT,SEVENTEEN,pop,dance pop,0.904
Heroine,SUNMI,pop,dance pop,0.782
Way Back Home,SHAUN,pop,dance pop,0.739
I’m So Hot,MOMOLAND,pop,dance pop,0.883
Me & You,EXID,pop,dance pop,0.911
No,CLC,pop,dance pop,0.722
PICK ME,PRODUCE 48,pop,dance pop,0.862
WANT,TAEMIN,pop,dance pop,0.757
Fever,GFRIEND,pop,dance pop,0.836
Room Shaker,Ailee,pop,dance pop,0.897
Power Up,Red Velvet,pop,dance pop,0.934
LALALAY 날라리,SUNMI,pop,dance pop,0.806
8282(Party),twlv,pop,dance pop,0.637
D.D.D,THE BOYZ,pop,dance pop,0.921
Not That Type,gugudan,pop,dance pop,0.926
Humph!,PENTAGON,pop,dance pop,0.674
Play It Cool,Monsta X,pop,dance pop,0.82
AH YEAH,WINNER,pop,dance pop,0.722
SHA LA LA,PENTAGON,pop,dance pop,0.935
SUNDAY,FANATICS,pop,dance pop,0.793
BEEP BEEP,RUANN,pop,dance pop,0.752
The Only (feat. IRENE of Red Velvet),Raiden,pop,dance pop,0.923
Break the Distance,ELYAZ,pop,dance pop,0.697
I Could Get Used To This,Becky Hill,pop,dance pop,0.653
Therapy,Armin van Buuren,pop,dance pop,0.866
Sunshine,David Guetta,pop,dance pop,0.8
Somebody,The Chainsmokers,pop,dance pop,0.616
Like I Love You,Lost Frequencies,pop,dance pop,0.588
Walk Away,Alle Farben,pop,dance pop,0.787
I Need You,Armin van Buuren,pop,dance pop,0.863
Without You (feat. Sandro Cavazza),Avicii,pop,dance pop,0.855
Don't You Worry Child - Radio Edit,Swedish House Mafia,pop,dance pop,0.84
Fine Day,Keanu Silva,pop,dance pop,0.865
BOOM,Tiësto,pop,dance pop,0.84
Whispers,ELYAZ,pop,dance pop,0.713
Secrets - Radio Edit,Tiësto,pop,dance pop,0.811
Forever,Martin Garrix,pop,dance pop,0.898
Carry Me Home (feat. Jake Reese),KSHMR,pop,dance pop,0.884
A Sky Full of Stars,Coldplay,pop,dance pop,0.636
Selfish,Dimitri Vegas & Like Mike,pop,dance pop,0.789
The Days,Avicii,pop,dance pop,0.724
My Way,Calvin Harris,pop,dance pop,0.913
I Love You,Axwell /\ Ingrosso,pop,dance pop,0.859
Happy Now,Zedd,pop,dance pop,0.741
Born To Be Yours,Kygo,pop,dance pop,0.688
Counting Stars,OneRepublic,pop,dance pop,0.705
Recognise,Lost Frequencies,pop,dance pop,0.741
Like I Love You,Lost Frequencies,pop,dance pop,0.583
Don't Give Up On Me,Armin van Buuren,pop,dance pop,0.702
This Is What It Feels Like,Armin van Buuren,pop,dance pop,0.831
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,pop,dance pop,0.783
Lions in the Wild,Martin Garrix,pop,dance pop,0.847
Blame,Calvin Harris,pop,dance pop,0.856
Lovers on the Sun (feat. Sam Martin),David Guetta,pop,dance pop,0.891
Broken Arrows,Avicii,pop,dance pop,0.674
Red Lights,Tiësto,pop,dance pop,0.83
Now That I've Found You,Martin Garrix,pop,dance pop,0.831
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,pop,dance pop,0.79
Something New,Axwell /\ Ingrosso,pop,dance pop,0.86
"Alone, Pt. II",Alan Walker,pop,dance pop,0.668
Family,The Chainsmokers,pop,dance pop,0.607
All That She Wants,Campsite Dream,pop,dance pop,0.652
Push My Luck,The Chainsmokers,pop,dance pop,0.643
Here Comes The Sun,Campsite Dream,pop,dance pop,0.633
Sad,Aivarask,pop,dance pop,0.76
Safety (feat. DJ Snake),GASHI,pop,dance pop,0.828
Summer Lover (feat. Devin & Nile Rodgers),Oliver Heldens,pop,dance pop,0.859
We Got Love,Sigala,pop,dance pop,0.812
Mr Todd Terry,Riton,pop,dance pop,0.847
As Far as Feelings Go,Alle Farben,pop,dance pop,0.799
Summer Fade (feat. Anna of the North),Snakehips,pop,dance pop,0.657
Loving Myself (feat. Raphaella),Henri PFR,pop,dance pop,0.693
Haloes,Ina Wroldsen,pop,dance pop,0.719
Gotta Let Go,Hypanda,pop,dance pop,0.921
Narcotic,Younotus,pop,dance pop,0.668
Do You Mean (feat. Ty Dolla $ign & bülow),The Chainsmokers,pop,dance pop,0.666
Be Someone,CamelPhat,pop,dance pop,0.788
Ghost,Au/Ra,pop,dance pop,0.503
Stand By (feat. Rudimental) [#CWC19],LORYN,pop,dance pop,0.78
Acid Dreams,MAX,pop,dance pop,0.509
Kills You Slowly,The Chainsmokers,pop,dance pop,0.429
Let Me Love You,Campsite Dream,pop,dance pop,0.454
Spicy - with Diplo & Charli XCX,Herve Pagez,pop,dance pop,0.825
Mistaken (feat. Alex Aris),Martin Garrix,pop,dance pop,0.694
Do It Again,Steve Aoki,pop,dance pop,0.95
Can We Pretend (feat. Cash Cash),P!nk,pop,dance pop,0.806
On My Way,Alan Walker,pop,dance pop,0.689
Body 2 Body,MK,pop,dance pop,0.771
Shy Guy,Campsite Dream,pop,dance pop,0.565
Late Night Feelings (feat. Lykke Li),Mark Ronson,pop,dance pop,0.729
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,pop,dance pop,0.468
"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)",Sia,pop,dance pop,0.525
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,pop,dance pop,0.521
Dancing With A Stranger (with Normani),Sam Smith,pop,dance pop,0.52
Play,K-391,pop,dance pop,0.798
Say You'll Be There,Campsite Dream,pop,dance pop,0.598
Diamond Heart,Alan Walker,pop,dance pop,0.633
Paris,The Chainsmokers,pop,dance pop,0.644
Stole the Show,Kygo,pop,dance pop,0.635
Lose Yourself to Dance,Daft Punk,pop,dance pop,0.659
Say My Name,David Guetta,pop,dance pop,0.66
Final Song,MØ,pop,dance pop,0.672
Slow Down (with Calvin Harris),Normani,pop,dance pop,0.693
Born To Be Yours,Kygo,pop,dance pop,0.688
Changes,Faul & Wad Ad,pop,dance pop,0.704
No Diggity,Campsite Dream,pop,dance pop,0.714
Never Forget You,Zara Larsson,pop,dance pop,0.732
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,pop,dance pop,0.745
Back & Forth,MK,pop,dance pop,0.816
Slide (feat. Frank Ocean & Migos),Calvin Harris,pop,dance pop,0.795
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,pop,dance pop,0.811
Giving Up (feat. Jaden Michaels),QUIX,pop,dance pop,0.806
17,MK,pop,dance pop,0.832
Lullaby,Sigala,pop,dance pop,0.834
Who Do You Love,The Chainsmokers,pop,dance pop,0.835
Fire In My Soul,Oliver Heldens,pop,dance pop,0.977
We Don't Talk,Wiktoria,pop,dance pop,0.625
Love You Better,John De Sohn,pop,dance pop,0.786
The Rest Will Follow,Ludvigsson,pop,dance pop,0.831
So It Goes,Caj Morgan,pop,dance pop,0.739
Unbelievable,Andrew Roman,pop,dance pop,0.565
Photograph,Ljung,pop,dance pop,0.567
Faded,John De Sohn,pop,dance pop,0.859
Only You,Hogland,pop,dance pop,0.732
I Don't Know,Ericé,pop,dance pop,0.872
Too Close,Ria Mae,pop,dance pop,0.667
Hole in the Roof,AronChupa,pop,dance pop,0.477
Nobody Else,Wahlstedt,pop,dance pop,0.661
Dance Monkey,Skylike,pop,dance pop,0.855
Free,JRL,pop,dance pop,0.784
My Own Dance,Kesha,pop,dance pop,0.724
Bigger Than,Justin Jesso,pop,dance pop,0.669
I Got Eyes,John De Sohn,pop,dance pop,0.819
Bleed,Haze & Mellow,pop,dance pop,0.848
Hold on Tight,Sterkøl,pop,dance pop,0.753
Once and for All,Moe Aly,pop,dance pop,0.564
Fantasy,Laureano,pop,dance pop,0.709
